遊戲期數,遊戲主題,屆別,獎金結構項數,售價,最高獎金,發行日,發行日(民國),下市日,下市日(民國),兌獎截止日,兌獎截止日(民國),發行張數,銷售率,頭獎張數,頭獎未兌領張數,scratchId,newsId,圖片網址,獎金結構網址
5136,鑽很大,本屆(2024/1/1起),9,500,5000000,2026-02-24,115/02/24,2026-08-24,115/08/24,2026-11-24,115/11/24,4000000,,4,,a8a0ae414f1240c6b9e387221eab7721,ad69b5a7ae0d49dbac2bcf1e98fd75a1,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260211_162045480_1.jpg,https://www.taiwanlottery.com/news/news/ad69b5a7ae0d49dbac2bcf1e98fd75a1
5135,財神報到,本屆(2024/1/1起),11,100,600000,2026-02-03,115/02/03,2026-08-03,115/08/03,2026-11-03,115/11/03,8160000,87.79%,8,0,09636013c1e946419f699fd803d55649,f0d09b62412a4335a9bb87025d5f719a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260129_151431710_1.jpg,https://www.taiwanlottery.com/news/news/f0d09b62412a4335a9bb87025d5f719a
5133,好運連發,本屆(2024/1/1起),10,200,2000000,2026-02-03,115/02/03,2026-08-03,115/08/03,2026-11-03,115/11/03,7430100,95.2%,7,0,1465b666d9ad4a98bcea0143e6a8adaf,f0d09b62412a4335a9bb87025d5f719a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260129_150956704_1.jpg,https://www.taiwanlottery.com/news/news/f0d09b62412a4335a9bb87025d5f719a
5132,獎金樂翻倍,本屆(2024/1/1起),10,200,2000000,2026-02-03,115/02/03,2026-08-03,115/08/03,2026-11-03,115/11/03,7650000,99.78%,8,1,22d9277fd22f4cae9a2c0bfcd5a54d80,f0d09b62412a4335a9bb87025d5f719a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260129_150742958_1.jpg,https://www.taiwanlottery.com/news/news/f0d09b62412a4335a9bb87025d5f719a
5131,哈啾咪,本屆(2024/1/1起),9,500,5000000,2026-02-03,115/02/03,2026-08-03,115/08/03,2026-11-03,115/11/03,5000000,100%,4,0,4041b8f616e04471b36116bad7255081,f0d09b62412a4335a9bb87025d5f719a,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260129_150213478_1.jpg,https://www.taiwanlottery.com/news/news/f0d09b62412a4335a9bb87025d5f719a
5130,財源滾滾,本屆(2024/1/1起),10,100,300000,2026-01-20,115/01/20,2026-07-20,115/07/20,2026-10-20,115/10/20,8160000,88.06%,7,1,c055541f65ef4d9c9bf9826aaa4ddc9b,2bfd12cf4ee14885b1d4784dfb527f96,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260116_143658471_1.jpg,https://www.taiwanlottery.com/news/news/2bfd12cf4ee14885b1d4784dfb527f96
5129,金馬報喜,本屆(2024/1/1起),8,200,100000,2026-01-20,115/01/20,2026-07-20,115/07/20,2026-10-20,115/10/20,7650000,99.96%,550,11,11797c36fb8048e9b5038f46adbdc717,2bfd12cf4ee14885b1d4784dfb527f96,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260116_143413802_1.jpg,https://www.taiwanlottery.com/news/news/2bfd12cf4ee14885b1d4784dfb527f96
5128,金好鑽,本屆(2024/1/1起),11,200,2000000,2026-01-20,115/01/20,2026-07-20,115/07/20,2026-10-20,115/10/20,7510000,94.85%,8,0,6a56099f57b5482cbc028dcf398a2b6b,2bfd12cf4ee14885b1d4784dfb527f96,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260116_143129727_1.jpg,https://www.taiwanlottery.com/news/news/2bfd12cf4ee14885b1d4784dfb527f96
5127,金馬獎,本屆(2024/1/1起),13,500,3000000,2026-01-20,115/01/20,2026-07-20,115/07/20,2026-10-20,115/10/20,7500000,100%,14,0,153ad48a62ca4e959f21653a972ec7d2,2bfd12cf4ee14885b1d4784dfb527f96,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260116_142919792_1.jpg,https://www.taiwanlottery.com/news/news/2bfd12cf4ee14885b1d4784dfb527f96
5126,"2,000萬超級紅包",本屆(2024/1/1起),8,2000,20000000,2026-01-20,115/01/20,2026-07-20,115/07/20,2026-10-20,115/10/20,11500092,100%,10,0,d9a57757c84248c58156534c9517f2bf,2bfd12cf4ee14885b1d4784dfb527f96,https://cdn.taiwanlottery.com.tw/app/Images/Scratch/20260116_142656293_1.jpg,https://www.taiwanlottery.com/news/news/2bfd12cf4ee14885b1d4784dfb527f96
